content,date,rating,title,author
"Absolutely fantastic dining experience! The seafood platter was incredible - fresh, beautifully presented, and the flavors were outstanding. Our waiter Marcus was attentive without being intrusive. The harbor views at sunset were magical. Will definitely be back!",2025-12-15,5,Perfect evening at the Waterfront,Sarah M
"Good food but the service was a bit slow. We waited 45 minutes for our mains after ordering. The fish and chips were tasty though, nice and crispy. Location is beautiful with great views of Table Mountain.",2025-12-14,3,Nice food but slow service,John P
"Terrible experience. The steak was overcooked despite asking for medium-rare, and when we complained the manager was rude and dismissive. The restaurant was also quite dirty - saw crumbs on the floor. Will not return.",2025-12-12,1,Disappointing all around,Michael K
"Love this place! Been coming here for years and the quality never disappoints. The sushi is always fresh and the staff remember our names. Perfect spot for a special occasion dinner.",2025-12-10,5,Our favorite restaurant,Emma and David
"Decent meal overall. The pasta was good but nothing special. Prices are a bit high for what you get, but I guess that's expected for the Waterfront location. Service was friendly enough.",2025-12-08,3,Average dining experience,Lisa R
"The grilled calamari was to die for! So tender and perfectly seasoned. However, we did have to wait quite a while for a table even with a reservation. The ambiance makes up for it though.",2025-12-05,4,Great food worth the wait,Peter V
"Worst meal I've had in Cape Town. The chicken was cold and the vegetables were bland and overcooked. Asked for the bill three times before anyone brought it. Completely unprofessional.",2025-11-30,1,Avoid this place,Amanda T
"What a wonderful surprise! Stumbled upon this gem while exploring the Waterfront. The seafood chowder was amazing - so creamy and full of flavor. Staff were incredibly helpful with recommendations.",2025-11-28,5,Hidden gem!,Tourist from UK
"The view is spectacular but that's where the positives end. Food was mediocre at best, portions were tiny, and it took forever to get served. Overpriced tourist trap in my opinion.",2025-11-25,2,All style no substance,Cape Town Local
"Celebrated my anniversary here and it was perfect. The tasting menu was exceptional - each course better than the last. The sommelier's wine pairings were spot on. Worth every rand!",2025-11-20,5,Anniversary perfection,Richard and Anne
"Food quality has really gone downhill. Used to be our go-to spot but the last few visits have been disappointing. Steaks not as good, sides arrive cold. Management needs to address this.",2025-11-18,2,Not what it used to be,Regular Customer
"Quick lunch with colleagues. The burger was excellent - juicy patty, fresh toppings, and the chips were crispy. Fast service too which was appreciated during a busy workday. Good value for money.",2025-11-15,4,Great business lunch spot,James W
"Beautiful setting but the noise level is unbearable. Could barely hear my companions. The food was fine - nothing memorable but not bad either. Would only come back for outdoor seating.",2025-11-12,3,Too noisy inside,Helen G
"The bobotie was authentic and delicious! So happy to find a place serving traditional Cape Malay cuisine. The staff explained each dish with passion. Highly recommend for tourists wanting local flavors.",2025-11-10,5,Authentic Cape Town experience,German Tourist
"Waited 20 minutes just to get menus. When food finally arrived, my wife's salad had a hair in it. Manager apologized and removed it from the bill but the damage was done. Unacceptable.",2025-11-05,1,Hygiene issues,Concerned Diner
